GOR Tirtasari, -6.402620531430981, 106.84897467943739
GOR Ratu Jaya, -6.420494634380437, 106.81315050723941
GOR Pendawa, -6.410789468003938, 106.82421325137092
Depok Sport Hall, -6.420281725611324, 106.83019160837202
Lapangan IKASI Depok, -6.414869688743568, 106.86240683029355
Lapangan Beji Permai, -6.378533451059279, 106.80395613116778
Lapangan FISIP UI, -6.3533088197618515, 106.83019709219393
Lapangan PKSDR, -6.421692284733096, 106.83468349654403


Puskesmas Pancoran Mas, -6.403182728923067, 106.81906229000587
Puskesmas Kalimulya, -6.443607012904675, 106.82444365471613
Puskesmas Cilodong, -6.442748497962508, 106.83025290023164
Puskesmas Ratu Jaya, -6.424729388535267, 106.81276223711009
RS Mitra Keluarga, -6.394649844197093, 106.82464120058052
RSU Hermina, -6.400194098067925, 106.82541367678547
RS Permata, -6.399884243541441, 106.7712924071261
RS Citra Medika, -6.427232134727269, 106.82361123252542

Setu Asih Pulo, -6.410313374778408, 106.79494173885277
Setu Cilangkap, -6.447552852735738, 106.86116612631612
Setu Cilodong, -6.443293528331645, 106.8397340364564
Setu Alam Baru Depok Timur, -6.412057391568264, 106.84402045442835
Setu Rawa Besar Depok, -6.391042913083226, 106.81687314060605
Setu Citayam, -6.442880522791139, 106.79868802510327
Setu Jatijajar, -6.417463884588745, 106.86151608977474
Setu Sawangan, -6.386586933966532, 106.75422772797238

Taman Jatijajar, -6.41081099785503, 106.86460599459465
Taman Nusantara Beji, -6.384369180631062, 106.81482419471834
Taman Waktu, -6.389316463342649, 106.77517041619618
Taman Merdeka,-6.395799037242401, 106.83662518983658
Taman Pondokcina, -6.364920778777426, 106.83851346500431
Taman Kukusan (Tamkus), -6.366456205726857, 106.81825742229601
Taman Lembah Gurame, -6.39528725808046, 106.807957739563
Alun Alun Kota Depok, -6.438616074934064, 106.82615384572468
