nama, latitude, longitude
Kepulauan Seribu, -5.800050534036621, 106.49415493857062
Kota Jakarta Pusat, -6.180434117325098, 106.82685050528949
Kota Jakarta Utara, -6.1549952411915925, 106.89373779073576
Kota Jakarta Barat, -6.168695718054597, 106.76309154396631
Kota Jakarta Selatan, -6.262902688191443, 106.81017610362329
Kota Jakarta Timur, -6.223600092977212, 106.8978059307762
