nama, latitude, longitude
Kab. Kulon Progo, -7.798176065748261, 110.15991408830943
Kab. Bantul, -7.872992040076737, 110.32497324498617
Kab. Gunungkidul, -7.944871366343668, 110.61762216543501
Kab. Sleman, -7.717584947213704, 110.3373119262635
Kota Yogyakarta, -7.800867445281693, 110.36420084096684
